Salutation,First Name,Last Name,Company,Title,Email,Phone,Mobile,Fax,Website,Lead Source,Industry,Lead Status,Rating,No. of Employees,Annual Revenue,Street,City,State/Province,Zip/Postal Code,Country,Product Interest,Current Generator(s),SIC Code,Primary,Number of Locations,Description
Mr.,Mathieu,Leroy,MLeroy Logistics SAS,Owner,mathieu.leroy@mleroylogistics.com,+608 787786608,,,,Purchased List,Apparel,Working - Contacted,,250,,,Grenoble,,38000,France,GC3000 series,,6303,No,,
Mr.,Yosra,Bouazizi,YBouazizi Innovations SA,,yosra.bouazizi@ybouaziziinnovations.com,+542 584739562,+561 617611907,,https://www.ybouaziziinnovations.com,Web,,Open - Not Contacted,,5,120000,1 Zone Industrielle,Sfax,,3000,Tunisia,,,,Yes,20,
,Laurent,Simon,Simon Technologies SA,Sales Director,,+634 726147671,,,,Other,Retail,Open - Not Contacted,,,5000000,,Lille,,,France,GC3000 series,GC1000 series (old model),,,,
,Yui,Kimura,"YKimura Technologies Co., Ltd.",VP Marketing,yui.kimura@ykimuratechnologies.com,+459 774102579,+788 313518905,,,Web,,Open - Not Contacted,,,,99 Boulevard Central,Yokohama,,220-0001,Japan,,,,Yes,,
Dr.,Laura,Alvarez,Alvarez Systems S.L.,,laura.alvarez@alvarezsystems.com,,,,https://www.alvarezsystems.com,Phone Inquiry,,Open - Not Contacted,,250,2500000,134 High Street,Bilbao,,48001,Spain,GC3000 series,,,No,3,
,,Davies,Davies Industries PLC,Procurement Director,contact@daviesindustries.com,+262 154367386,,,https://www.daviesindustries.com,,,Closed - Not Converted,,,,,Edinburgh,,EH1 1AA,United Kingdom,,,,Yes,,
,Aurelie,Lefebvre,ALefebvre Industries SARL,Buyer,aurelie.lefebvre@alefebvreindustries.com,,+200 587374841,,,Partner Referral,Biotechnology,Open - Not Contacted,,,,134 Boulevard Central,Bordeaux,,33000,France,GC1000 series,,3970,,,
Dr.,Sophia,Robinson,Robinson Energy Ltd.,Owner,sophia.robinson@robinsonenergy.com,,,+392 674382155,,Other,Recreation,Open - Not Contacted,Warm,,1000000,,London,,EC1A 1BB,United Kingdom,,,,Yes,,
,Takashi,Hayashi,"Hayashi Partners Co., Ltd.",,,,+941 154410181,,,Phone Inquiry,,Open - Not Contacted,,,,75 High Street,Osaka,,530-0001,Japan,,,,Yes,,
Mrs.,Mathieu,Roux,MRoux Innovations SAS,CFO,,+193 324532155,,,https://www.mrouxinnovations.com,Partner Referral,Manufacturing,Open - Not Contacted,,12,,,Marseille,,,France,,In-house legacy unit,,No,2,Expressed interest during cold call.
Ms.,,Martin,NMartin International SARL,,contact@nmartininternational.com,,,,https://www.nmartininternational.com,,Chemicals,Open - Not Contacted,,,,244 Calle Mayor,Grenoble,,38000,France,GC3000 series,,,,,
,Emily,Brown,Brown Energy Ltd.,CFO,emily.brown@brownenergy.com,+780 387346846,,,,Other,Technology,Open - Not Contacted,,,500000,,,,,United Kingdom,,GC500 series,,No,,Attended regional partner event.
Dr.,Celine,Laurent,Laurent Systems SA,,celine.laurent@laurentsystems.com,,+985 494529490,,,Other,Consulting,Open - Not Contacted,,,5000000,182 Rua Augusta,Nice,,06000,France,GC3000 series,,,,,
Mrs.,Claire,Garcia,Garcia Holdings SARL,President,claire.garcia@garciaholdings.com,,+507 764554819,,,Other,Utilities,Open - Not Contacted,,2500,,115 Rue Victor Hugo,Nice,,,France,GC5000 series,,,,5,
Prof.,Nathalie,Vincent,Vincent Logistics SARL,Plant Manager,nathalie.vincent@vincentlogistics.com,,+973 786687558,,,,,Open - Not Contacted,Cold,,,,Dijon,,21000,France,,,,,,Follow up after product demo webinar.
Prof.,Jose,Rodrigues,JRodrigues Power S.A.,,jose.rodrigues@jrodriguespower.com,+550 194245755,,,,Phone Inquiry,,Closed - Converted,,120,,74 Via Roma,Porto,,4000-001,Portugal,,,,Yes,,Follow up after product demo webinar.
Prof.,Isabelle,Durand,IDurand Logistics SARL,Buyer,isabelle.durand@idurandlogistics.com,,+43 128515794,,,,Entertainment,Open - Not Contacted,,,,,Strasbourg,,,France,,,,,5,
Ms.,Sandrine,Moreau,SMoreau Industries SA,,sandrine.moreau@smoreauindustries.com,+904 252726974,+619 996672678,,https://www.smoreauindustries.com,Other,,Open - Not Contacted,Hot,80,,93 Church Road,Reims,,51100,France,GC1000 series,,,,,
Ms.,,Smith,JSmith Solutions Inc.,CTO,contact@jsmithsolutions.com,+717 559512272,+622 231980274,,https://www.jsmithsolutions.com,Partner Referral,,Open - Not Contacted,,,500000,,Los Angeles,,,United States,,,9728,No,5,Expressed interest during cold call.
,Grace,Watson,Watson Dynamics Ltd.,VP Marketing,grace.watson@watsondynamics.com,,,,https://www.watsondynamics.com,Partner Referral,Government,Open - Not Contacted,Hot,,,,Leeds,,LS1 1BA,United Kingdom,,,,No,,
,Mathieu,Laurent,MLaurent Dynamics SARL,CTO,,,+959 465827709,,,Other,Transportation,Open - Not Contacted,,2500,5000000,155 Rue de la Paix,Angers,,,France,,,,Yes,,
Mr.,,Bernard,JBernard Systems SARL,Plant Manager,contact@jbernardsystems.com,+275 518896589,+725 889398528,,https://www.jbernardsystems.com,Phone Inquiry,Food & Beverage,Open - Not Contacted,,500,,163 High Street,Nice,,06000,France,,In-house legacy unit,,No,,
Mrs.,Claire,Robert,Robert Innovations SARL,,claire.robert@robertinnovations.com,+991 497416138,,,https://www.robertinnovations.com,Partner Referral,,Open - Not Contacted,Warm,50,,,Rennes,,,France,GC1020 series,,,No,,
Mr.,James,Davis,Davis Technologies Corp.,CFO,james.davis@davistechnologies.com,+223 128808678,,,,,Machinery,Open - Not Contacted,,1000,1000000,243 Zone Industrielle,Phoenix,,85001,United States,GC1020 series,Other Corp X100,,,,
,Camille,Michel,CMichel Solutions SARL,VP Sales,camille.michel@cmichelsolutions.com,+69 686783086,+470 571471521,,,,Communications,Open - Not Contacted,,,,,Reims,,,France,GC5000 series,,,Yes,1,
,Karen,Jackson,KJackson Holdings Inc.,,karen.jackson@kjacksonholdings.com,+166 640262109,+964 948124318,,https://www.kjacksonholdings.com,Other,Insurance,Open - Not Contacted,,,250000,,Chicago,,,United States,,,1744,,,Follow up after product demo webinar.
Mr.,Mathis,Wouters,MWouters Technologies SPRL,Procurement Director,,+810 196223229,,,https://www.mwouterstechnologies.com,Partner Referral,,Open - Not Contacted,,,,,Ghent,,9000,Belgium,GC1000 series,,6824,No,1,
Mr.,Julia,Nowakowski,Nowakowski Logistics Sp. z o.o.,Procurement Director,julia.nowakowski@nowakowskilogistics.com,+735 245660991,+126 517065104,,,Other,Energy,Open - Not Contacted,,120,,,Warsaw,,00-001,Poland,GC1020 series,,,,1,
,Valerie,Simon,VSimon Systems SA,CEO,valerie.simon@vsimonsystems.com,,+523 577189199,,,,Machinery,Open - Not Contacted,,80,,,Angers,,49000,France,GC1000 series,,,,,
Mr.,Aminata,Sall,ASall Energy SA,,aminata.sall@asallenergy.com,+90 367930109,,,https://www.asallenergy.com,,,Open - Not Contacted,,,,,Thies,,21000,Senegal,,,,Yes,,
Mrs.,Jennifer,Taylor,Taylor Systems LLC,,jennifer.taylor@taylorsystems.com,+987 228892086,,,,Purchased List,,Open - Not Contacted,,,120000,192 Innovation Drive,San Diego,,,United States,GC5000 series,,,,,
Ms.,,Wagner,Wagner Enterprises AG,Procurement Director,contact@wagnerenterprises.com,+709 147662052,+873 871549421,,,Partner Referral,,Open - Not Contacted,,,,220 Rua Augusta,Cologne,,,Germany,,,,,,Downloaded product catalog from website.
,Lucas,Smit,LSmit Holdings B.V.,,lucas.smit@lsmitholdings.com,+158 679654067,,,https://www.lsmitholdings.com,,,Open - Not Contacted,,,,,Utrecht,,3511,Netherlands,GC1020 series,,,,,
Dr.,Nathalie,Robert,NRobert Global SAS,,,+673 275648753,,,,,,Closed - Converted,,,,,Lille,,59000,France,GC1020 series,,,No,,
,Pierre,Garcia,Garcia Systems SA,Operations Manager,pierre.garcia@garciasystems.com,,,,,,Engineering,Open - Not Contacted,Cold,,1000000,,,,21000,France,,,5526,No,,Looking to replace aging equipment fleet.
Mrs.,Aurelie,Bertrand,Bertrand Consulting SARL,Buyer,aurelie.bertrand@bertrandconsulting.com,,+681 312764866,,,Partner Referral,Environmental,Open - Not Contacted,,250,,6 Commerce Blvd,Dijon,,21000,France,GC3000 series,GC500 series,,No,,
Dr.,Amelia,White,White Corp Ltd.,Procurement Director,amelia.white@whitecorp.com,+935 355047826,,,https://www.whitecorp.com,,Manufacturing,Open - Not Contacted,Warm,,50000,50 Rua Augusta,Manchester,,M1 1AE,United Kingdom,,,,Yes,,
Ms.,Thomas,Simon,TSimon Innovations SAS,Owner,thomas.simon@tsimoninnovations.com,,,,https://www.tsimoninnovations.com,Web,Electronics,Open - Not Contacted,Warm,,,,Grenoble,,,France,GC1000 series,,,No,,Inbound inquiry about maintenance contracts.
,Nathalie,Moreau,NMoreau Consulting SARL,,nathalie.moreau@nmoreauconsulting.com,,,,,Phone Inquiry,Agriculture,Open - Not Contacted,,5,,25 Boulevard Central,Paris,,75001,France,,,,,,
,Mia,Frei,Frei Solutions AG,,mia.frei@freisolutions.com,+811 815675419,+309 140870780,,,Web,,Open - Not Contacted,,80,,185 Hauptstrasse,Zurich,,,Switzerland,,,7408,No,,
,Jean,Garcia,Garcia Logistics SA,IT Director,jean.garcia@garcialogistics.com,+464 972515450,,,,Web,Healthcare,Open - Not Contacted,,,,,Paris,,,France,,,,No,1,
,,David,David Corp SAS,,contact@davidcorp.com,,+148 972111726,,,,Utilities,Open - Not Contacted,,,,,Lyon,,69001,France,,,,,,
Mrs.,Aurelie,Bertrand,Bertrand Power SA,CTO,aurelie.bertrand@bertrandpower.com,+990 851476044,+547 697067214,,https://www.bertrandpower.com,Phone Inquiry,Electronics,Open - Not Contacted,,,,,Dijon,,,France,,,,,,
Dr.,,Fournier,SFournier Systems SARL,Facilities Manager,contact@sfourniersystems.com,+361 422683673,+259 537593013,,,,,Open - Not Contacted,Cold,,,26 High Street,,,34000,France,GC1020 series,,,,,
,,Leroy,VLeroy Logistics SAS,Head of Procurement,contact@vleroylogistics.com,+875 258276118,,,,Purchased List,Retail,Open - Not Contacted,,80,,,Angers,,49000,France,,,,,1,Inbound inquiry about maintenance contracts.
Mr.,Maria,Almeida,MAlmeida Holdings Ltda.,,maria.almeida@malmeidaholdings.com,+96 854903382,+906 342215392,,,Phone Inquiry,,Open - Not Contacted,Hot,,,27 Calle Mayor,Belo Horizonte,,30000-000,Brazil,GC3000 series,,,,,
,Cristina,Lopez,Lopez Logistics S.L.,VP Marketing,cristina.lopez@lopezlogistics.com,+723 868576625,+917 815474970,,,Purchased List,Electronics,Open - Not Contacted,,80,250000,70 Zone Industrielle,,,29001,Spain,,,,,,
,Thomas,Moreau,TMoreau Solutions SARL,,thomas.moreau@tmoreausolutions.com,,+355 898945791,,https://www.tmoreausolutions.com,,Energy,Open - Not Contacted,,,,27 Business Park Way,Montpellier,,34000,France,,,,No,,
Prof.,Michel,David,MDavid Systems SAS,General Manager,,,+970 198652603,,,Other,,Open - Not Contacted,Cold,,,1 Hauptstrasse,,,69001,France,,,,No,,Attended regional partner event.
Ms.,Lara,Roth,LRoth Systems GmbH,,lara.roth@lrothsystems.com,+361 693010827,,,,Purchased List,,Open - Not Contacted,Cold,12,,,Zurich,,8001,Switzerland,,,,,1,
Dr.,Celine,Dubois,CDubois Consulting SA,President,celine.dubois@cduboisconsulting.com,+628 968355014,,,https://www.cduboisconsulting.com,Phone Inquiry,Agriculture,Open - Not Contacted,,,250000,60 Rue de la Paix,Toulouse,,31000,France,GC1000 series,,,,,
Mrs.,Claire,Robert,CRobert Holdings SARL,,claire.robert@crobertholdings.com,,+690 125699176,,https://www.crobertholdings.com,Phone Inquiry,Transportation,Open - Not Contacted,Cold,,10000000,,,,69001,France,GC3000 series,,,,,
,Mathieu,Bernard,Bernard Energy SARL,,mathieu.bernard@bernardenergy.com,+278 428733307,+656 250199913,,,Purchased List,Transportation,Open - Not Contacted,Warm,,1000000,249 Rue Victor Hugo,Dijon,,21000,France,,,,,,Referred by an existing customer.
Prof.,Sophie,Bertrand,Bertrand Dynamics SA,COO,sophie.bertrand@bertranddynamics.com,+9 139137054,,,https://www.bertranddynamics.com,Phone Inquiry,Engineering,Working - Contacted,,,,,Toulouse,,31000,France,GC3000 series,,9435,,2,
Ms.,James,Hernandez,Hernandez Dynamics Corp.,CFO,,+287 215892193,,,,,Communications,Open - Not Contacted,Hot,,,,Austin,,73301,United States,GC3000 series,,,,,
Dr.,Alexandre,Roux,ARoux Enterprises SARL,Sales Director,alexandre.roux@arouxenterprises.com,+887 820003491,,,https://www.arouxenterprises.com,Purchased List,Agriculture,Open - Not Contacted,Cold,,,,Bordeaux,,33000,France,GC1020 series,,,Yes,,
Ms.,Michel,Robert,MRobert Power SARL,,michel.robert@mrobertpower.com,+564 148503642,,,,Phone Inquiry,Hospitality,Open - Not Contacted,,,250000,143 High Street,Lyon,,69001,France,,,,,,Requested a quote via website contact form.
Dr.,Camille,Vincent,CVincent Industries SA,Buyer,camille.vincent@cvincentindustries.com,,+296 614139480,,https://www.cvincentindustries.com,Web,,Open - Not Contacted,Hot,,,,,,,France,GC1020 series,,,,,
Dr.,Pierre,Laurent,PLaurent Services SA,,,,+199 331311013,,,Web,,Open - Not Contacted,,,1000000,108 Station Road,Nice,,06000,France,,,,,,
,Julien,Thomas,Thomas Solutions SARL,VP Sales,julien.thomas@thomassolutions.com,+736 578646505,+800 666359299,,,Partner Referral,Transportation,Open - Not Contacted,,,,215 Industrial Ave,Strasbourg,,,France,GC3000 series,,,No,,
,Lucas,Simon,Simon Group SA,Supply Chain Manager,lucas.simon@simongroup.com,,+436 956313253,,,,,Open - Not Contacted,,500,,,Bruges,,8000,Belgium,GC3000 series,,,No,,
,Thomas,Leroy,TLeroy Services SARL,,thomas.leroy@tleroyservices.com,+571 824531132,,,https://www.tleroyservices.com,Other,Electronics,Open - Not Contacted,,5,2500000,83 Rue de la Paix,Dijon,,,France,GC1000 series,,,Yes,,
Mr.,Thomas,Girard,TGirard Innovations SAS,Procurement Director,thomas.girard@tgirardinnovations.com,,,,,Partner Referral,,Open - Not Contacted,,,250000,208 Avenue Foch,Grenoble,,38000,France,GC3000 series,,4406,,,
,Chiara,Mancini,CMancini Dynamics S.p.A.,General Manager,chiara.mancini@cmancinidynamics.com,,,,https://www.cmancinidynamics.com,Purchased List,Engineering,Open - Not Contacted,,,,,Milan,,,Italy,,,4559,,,
,Antoine,Michel,Michel Power SARL,,antoine.michel@michelpower.com,,+876 930757457,,,,,Open - Not Contacted,Hot,,,,Dijon,,21000,France,GC1020 series,Other Corp X100,,Yes,1,
,Hind,Al Kaabi,Al Kaabi Industries FZE,,hind.alkaabi@alkaabiindustries.com,+830 290291375,,,,Phone Inquiry,,Open - Not Contacted,,,500000,,Dubai,,,United Arab Emirates,,,,No,,Inbound inquiry about maintenance contracts.
Mr.,Sophia,Williams,SWilliams Services PLC,Facilities Manager,sophia.williams@swilliamsservices.com,,,,https://www.swilliamsservices.com,Phone Inquiry,,Open - Not Contacted,Cold,,2500000,,Bristol,,BS1 1AA,United Kingdom,,,,No,,Looking to replace aging equipment fleet.
,Antoine,Bernard,Bernard Industries SA,Managing Director,,+90 563898807,+256 254605939,,https://www.bernardindustries.com,Web,,Open - Not Contacted,Hot,80,,23 Main Street,,,33000,France,,,,No,,
,Maja,Jonasson,MJonasson Global AB,Head of Procurement,maja.jonasson@mjonassonglobal.com,+996 173020918,,,,Other,Other,Open - Not Contacted,,,,26 Rue de la Paix,Stockholm,,111 21,Sweden,GC5000 series,,,,,
Mr.,Paula,Hernandez,PHernandez Global S.A.,Purchasing Manager,paula.hernandez@phernandezglobal.com,,+771 326186924,,,,,Open - Not Contacted,,,2500000,115 Bahnhofstrasse,Bilbao,,48001,Spain,GC1020 series,,,No,5,
Dr.,Jean,Roux,Roux Corp SAS,Managing Director,jean.roux@rouxcorp.com,+625 816645259,,,,,,Open - Not Contacted,Warm,,,84 Rue de la Paix,Lille,,,France,GC1020 series,,,Yes,,
,Maria,Gutierrez,Gutierrez Logistics S.A.,,maria.gutierrez@gutierrezlogistics.com,+964 673394367,,,,Web,,Open - Not Contacted,Hot,,5000000,54 Boulevard Central,Seville,,41001,Spain,,,,,,Requested a quote via website contact form.
Ms.,Yosra,Rekik,Rekik Dynamics SA,Head of Procurement,yosra.rekik@rekikdynamics.com,+503 175933037,+575 891827614,,,,Biotechnology,Open - Not Contacted,,12,,,Sfax,,3000,Tunisia,GC3000 series,,,No,,
,,Martin,Martin International Corp.,CTO,,+119 284252420,+289 456020613,,,Purchased List,Biotechnology,Open - Not Contacted,,,2500000,,Chicago,,60601,United States,GC1000 series,In-house legacy unit,,No,,Referred by an existing customer.
Prof.,Marie,Garcia,MGarcia Enterprises SARL,Managing Director,marie.garcia@mgarciaenterprises.com,+173 650955675,,,,Partner Referral,Retail,Open - Not Contacted,,120,120000,187 Bahnhofstrasse,Lille,,,France,GC5000 series,,,,,
Prof.,Fang,Zhao,"FZhao Holdings Co., Ltd.",,fang.zhao@fzhaoholdings.com,+800 115658420,,,https://www.fzhaoholdings.com,,Retail,Open - Not Contacted,Hot,,,191 Church Road,Shanghai,,200000,China,GC3000 series,,,Yes,,
Dr.,Laurent,Fournier,Fournier Consulting SARL,CEO,laurent.fournier@fournierconsulting.com,+223 721159651,,+206 496477790,,Phone Inquiry,Banking,Open - Not Contacted,,,120000,,Nantes,,44000,France,GC1020 series,In-house legacy unit,3974,No,,
Mrs.,Anna,Goossens,Goossens Solutions SA,VP Sales,,+358 628703143,+148 966515994,,,Phone Inquiry,Electronics,Open - Not Contacted,,,,,Brussels,,1000,Belgium,,,6984,Yes,10,Referred by an existing customer.
Prof.,Ricardo,Chavez,Chavez Power S.C.,Operations Manager,ricardo.chavez@chavezpower.com,,,,,Purchased List,,Open - Not Contacted,,25,50000,137 Rue Victor Hugo,Mexico City,,01000,Mexico,,,,Yes,,
Mrs.,Finn,Brouwer,FBrouwer International B.V.,Purchasing Manager,finn.brouwer@fbrouwerinternational.com,+86 345915393,+205 256782042,,,Purchased List,Retail,Open - Not Contacted,Hot,,,,The Hague,,,Netherlands,,GC800 series,,No,,
Ms.,,Durand,Durand Systems SAS,Managing Director,contact@durandsystems.com,,,,,Web,,Open - Not Contacted,Warm,,,7 Rue Victor Hugo,,,38000,France,,,,No,,
Mrs.,Laurent,David,LDavid Enterprises SA,IT Director,laurent.david@ldavidenterprises.com,,,+741 826523308,,,,Open - Not Contacted,,,,,Grenoble,,38000,France,GC3000 series,,,No,,
Mrs.,,Garcia,EGarcia Enterprises Inc.,,contact@egarciaenterprises.com,+110 648193218,,,,,Transportation,Open - Not Contacted,Hot,500,,87 Commerce Blvd,Chicago,,60601,United States,,,,Yes,,Referred by an existing customer.
Mrs.,Claire,Bernard,Bernard Systems SAS,,,+978 791468439,,+594 144517531,,Other,Technology,Open - Not Contacted,,5,5000000,,Nantes,,,France,GC1020 series,,,No,,
Mrs.,Said,Berrada,Berrada Partners SARL,Sales Director,said.berrada@berradapartners.com,,+889 461058647,+450 736660705,https://www.berradapartners.com,Web,Engineering,Open - Not Contacted,,,500000,,Casablanca,,20000,Morocco,,,,No,,
Ms.,Michel,Dubois,Dubois Group SARL,,michel.dubois@duboisgroup.com,+929 526872196,,,,,,Open - Not Contacted,,,,,Reims,,51100,France,,,4173,Yes,,
,,Hernandez,Hernandez Energy S.A. de C.V.,President,contact@hernandezenergy.com,+485 884300929,,,https://www.hernandezenergy.com,Web,,Open - Not Contacted,,250,,77 High Street,Mexico City,,,Mexico,GC1020 series,,,No,,"Met at trade show, interested in bulk pricing."
Mr.,Aurelie,Lefebvre,ALefebvre Dynamics SAS,CFO,aurelie.lefebvre@alefebvredynamics.com,,,,,Other,,Open - Not Contacted,,250,,125 Park Lane,Paris,,75001,France,GC3000 series,,,Yes,,
Prof.,Pierre,Garcia,Garcia Holdings SARL,COO,pierre.garcia@garciaholdings.com,+61 555041703,+338 929171481,,https://www.garciaholdings.com,Purchased List,Construction,Open - Not Contacted,,50,,,Lille,,59000,France,,,5780,,5,
,Ana,Jimenez,AJimenez Industries S.L.,Owner,ana.jimenez@ajimenezindustries.com,,+307 668517739,,,,Environmental,Open - Not Contacted,Warm,,,,,,,Spain,,,,,,
Ms.,Marie,Laurent,MLaurent Group SAS,CTO,marie.laurent@mlaurentgroup.com,+422 843950587,+725 938336171,,,,,Open - Not Contacted,,,,90 Bahnhofstrasse,,,,France,GC5000 series,,,,,
Dr.,Pedro,Marques,PMarques Consulting Lda.,COO,pedro.marques@pmarquesconsulting.com,+774 750648859,,,https://www.pmarquesconsulting.com,,Apparel,Open - Not Contacted,Hot,,,244 Main Street,Lisbon,,1000-001,Portugal,GC3000 series,,,No,,
Ms.,Marie,Roux,MRoux Partners SAS,,marie.roux@mrouxpartners.com,,,,https://www.mrouxpartners.com,Web,Biotechnology,Open - Not Contacted,,,,108 Park Lane,Marseille,,13001,France,GC1020 series,,,,,
,Finn,Muller,Muller Dynamics AG,,finn.muller@mullerdynamics.com,,,,,Web,,Working - Contacted,,,,2 Boulevard Central,Frankfurt,,60311,Germany,,Other Corp X100,,,,
Ms.,Jack,Robinson,Robinson Partners Ltd.,,jack.robinson@robinsonpartners.com,+678 298916958,,,,Web,Consulting,Open - Not Contacted,Hot,,,,,,G1 1AA,United Kingdom,GC5000 series,None,,,,"Met at trade show, interested in bulk pricing."
Mrs.,Rania,Hamdi,RHamdi Services SPA,,,+139 562830211,,,,,Machinery,Open - Not Contacted,,,10000000,,Algiers,,,Algeria,GC3000 series,Other Corp X100,,,5,
Dr.,Isabelle,David,IDavid Services SARL,General Manager,isabelle.david@idavidservices.com,,,,https://www.idavidservices.com,Web,Technology,Open - Not Contacted,,5,120000,23 Station Road,Nice,,06000,France,GC5000 series,,,No,,
,Felix,Wolf,FWolf Energy AG,CFO,felix.wolf@fwolfenergy.com,,,,,Phone Inquiry,,Open - Not Contacted,,,,225 Park Lane,Cologne,,,Germany,,,,,,
Mrs.,Celine,Durand,CDurand Services SAS,VP Sales,celine.durand@cdurandservices.com,+699 219863721,+692 462548059,,,Other,Media,Open - Not Contacted,,,,243 Boulevard Central,Lyon,,,France,GC1000 series,,,Yes,1,
Dr.,Michel,Moreau,Moreau Dynamics SARL,Facilities Manager,michel.moreau@moreaudynamics.com,,,,,Web,,Open - Not Contacted,Warm,250,10000000,,Toulouse,,,France,,,,No,5,
,Pierre,Fournier,Fournier Holdings SAS,,pierre.fournier@fournierholdings.com,,,,,,Technology,Open - Not Contacted,Hot,,,,Marseille,,13001,France,,,,,20,Inbound inquiry about maintenance contracts.
Ms.,Emily,Williams,EWilliams Corp PLC,General Manager,emily.williams@ewilliamscorp.com,+391 765910573,,,https://www.ewilliamscorp.com,Web,,Open - Not Contacted,,,,,Leeds,,LS1 1BA,United Kingdom,,,,,,Referred by an existing customer.
,,Benjelloun,ABenjelloun Group SA,President,contact@abenjelloungroup.com,+587 998676416,+544 512932900,,,,,Working - Contacted,,,,,Tangier,,90000,Morocco,GC3000 series,,,,,
Dr.,Carlos,Perez,Perez Global S.C.,CEO,carlos.perez@perezglobal.com,+801 171572062,,,https://www.perezglobal.com,Partner Referral,Technology,Closed - Not Converted,Cold,500,,52 Innovation Drive,Monterrey,,64000,Mexico,GC1020 series,,4840,,,
,Claire,Bertrand,Bertrand Solutions SAS,VP Sales,,,,,https://www.bertrandsolutions.com,Phone Inquiry,,Open - Not Contacted,Hot,,,236 Innovation Drive,Lille,,,France,,,,,20,
,Susan,Rodriguez,SRodriguez Logistics Inc.,,susan.rodriguez@srodriguezlogistics.com,,,,,Phone Inquiry,,Open - Not Contacted,,,,138 Market Street,Dallas,,75201,United States,GC1000 series,GC1000 series (old model),,,,
Mrs.,Laurent,Robert,LRobert Enterprises SA,Facilities Manager,,+200 182420995,,,https://www.lrobertenterprises.com,Web,Other,Open - Not Contacted,,,10000000,,Paris,,75001,France,,,,No,20,
,Rania,Bouras,RBouras Services SARL,CTO,rania.bouras@rbourasservices.com,+330 281032794,,,,,Telecommunications,Open - Not Contacted,,,,200 Avenue Foch,Algiers,,16000,Algeria,GC3000 series,,,No,,
Mr.,Alexandre,Durand,ADurand Holdings SAS,Plant Manager,alexandre.durand@adurandholdings.com,+31 370452086,,,,Partner Referral,Electronics,Closed - Not Converted,,,,207 Rue Victor Hugo,,,,France,,,,Yes,3,
Prof.,Antoine,Simon,ASimon Enterprises SARL,CFO,antoine.simon@asimonenterprises.com,+216 287091587,,,https://www.asimonenterprises.com,Phone Inquiry,Entertainment,Open - Not Contacted,,1000,,,Reims,,51100,France,GC1000 series,Other Corp X100,,,3,Inbound inquiry about maintenance contracts.
Dr.,Michel,David,MDavid Services SARL,Procurement Director,michel.david@mdavidservices.com,,+661 987832640,,,,Government,Closed - Not Converted,,,120000,241 Via Roma,Nantes,,44000,France,GC5000 series,,,Yes,1,
,Thomas,Martin,TMartin Partners Inc.,,,,,,,Other,,Working - Contacted,Hot,,,,,,78201,United States,GC1000 series,,,No,3,
,Finn,Neumann,Neumann Corp AG,CEO,finn.neumann@neumanncorp.com,+730 471026547,+332 326581824,,,Web,Recreation,Working - Contacted,,,,,Dusseldorf,,40213,Germany,GC5000 series,GC800 series,,,,
